"name","raw_label","business_type","subcategory","city","state","address","postcode","lat","lon","website_url","instagram_url","email","phone","cuisine_types","description","source","source_url","confidence","staging_status","notes"
"Cornelius R. Jemison","Take A Chef Chicago roster","private_chef","private_chef","Chicago","IL","","","","","","","","","","Marketplace-listed private chef serving the Chicago market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/chicago","medium","normalized","Sourced from Take A Chef Chicago city page"
"Layla Nader","Take A Chef Chicago roster","private_chef","private_chef","Chicago","IL","","","","","","","","","","Marketplace-listed private chef serving the Chicago market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/chicago","medium","normalized","Sourced from Take A Chef Chicago city page"
"Pasquale Di Diana","Take A Chef Chicago roster","private_chef","private_chef","Chicago","IL","","","","","","","","","","Marketplace-listed private chef serving the Chicago market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/chicago","medium","normalized","Sourced from Take A Chef Chicago city page"
"Andy Suarez","Take A Chef Chicago roster","private_chef","private_chef","Chicago","IL","","","","","","","","","","Marketplace-listed private chef serving the Chicago market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/chicago","medium","normalized","Sourced from Take A Chef Chicago city page"
"Rudy Galindo","Take A Chef Chicago roster","private_chef","private_chef","Chicago","IL","","","","","","","","","","Marketplace-listed private chef serving the Chicago market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/chicago","medium","normalized","Sourced from Take A Chef Chicago city page"
"Richard Mancini","Take A Chef Chicago roster","private_chef","private_chef","Chicago","IL","","","","","","","","","","Marketplace-listed private chef serving the Chicago market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/chicago","medium","normalized","Sourced from Take A Chef Chicago city page"
"Alan Lake","Take A Chef Chicago roster","private_chef","private_chef","Chicago","IL","","","","","","","","","","Marketplace-listed private chef serving the Chicago market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/chicago","medium","normalized","Sourced from Take A Chef Chicago city page"
"Lasandra A","Take A Chef Chicago roster","private_chef","private_chef","Chicago","IL","","","","","","","","","","Marketplace-listed private chef serving the Chicago market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/chicago","medium","normalized","Sourced from Take A Chef Chicago city page"
"Anna Shoffner","Take A Chef Chicago roster","private_chef","private_chef","Chicago","IL","","","","","","","","","","Marketplace-listed private chef serving the Chicago market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/chicago","medium","normalized","Sourced from Take A Chef Chicago city page"
"Benjamin Brittsan","Take A Chef Chicago roster","private_chef","private_chef","Chicago","IL","","","","","","","","","","Marketplace-listed private chef serving the Chicago market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/chicago","medium","normalized","Sourced from Take A Chef Chicago city page"
"Alejandro Franco","Take A Chef Chicago roster","private_chef","private_chef","Chicago","IL","","","","","","","","","","Marketplace-listed private chef serving the Chicago market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/chicago","medium","normalized","Sourced from Take A Chef Chicago city page"
"Alvin Yu","Take A Chef Chicago roster","private_chef","private_chef","Chicago","IL","","","","","","","","","","Marketplace-listed private chef serving the Chicago market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/chicago","medium","normalized","Sourced from Take A Chef Chicago city page"
"Mariana Ascoli","Take A Chef Houston roster","private_chef","private_chef","Houston","TX","","","","","","","","","","Marketplace-listed private chef serving the Houston market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/houston","medium","normalized","Sourced from Take A Chef Houston city page"
"Decardios Denson","Take A Chef Houston roster","private_chef","private_chef","Houston","TX","","","","","","","","","","Marketplace-listed private chef serving the Houston market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/houston","medium","normalized","Sourced from Take A Chef Houston city page"
"Araceli Perez","Take A Chef Houston roster","private_chef","private_chef","Houston","TX","","","","","","","","","","Marketplace-listed private chef serving the Houston market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/houston","medium","normalized","Sourced from Take A Chef Houston city page"
"Alejandro Barreda Westphal","Take A Chef Houston roster","private_chef","private_chef","Houston","TX","","","","","","","","","","Marketplace-listed private chef serving the Houston market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/houston","medium","normalized","Sourced from Take A Chef Houston city page"
"Gabriel Boyko","Take A Chef Houston roster","private_chef","private_chef","Houston","TX","","","","","","","","","","Marketplace-listed private chef serving the Houston market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/houston","medium","normalized","Sourced from Take A Chef Houston city page"
"Melissa Espino-Alba","Take A Chef Houston roster","private_chef","private_chef","Houston","TX","","","","","","","","","","Marketplace-listed private chef serving the Houston market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/houston","medium","normalized","Sourced from Take A Chef Houston city page"
"Godstime Ebeagbor","Take A Chef Houston roster","private_chef","private_chef","Houston","TX","","","","","","","","","","Marketplace-listed private chef serving the Houston market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/houston","medium","normalized","Sourced from Take A Chef Houston city page"
"Mike Green","Take A Chef Houston roster","private_chef","private_chef","Houston","TX","","","","","","","","","","Marketplace-listed private chef serving the Houston market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/houston","medium","normalized","Sourced from Take A Chef Houston city page"
"Chef Asfran","Take A Chef Houston roster","private_chef","private_chef","Houston","TX","","","","","","","","","","Marketplace-listed private chef serving the Houston market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/houston","medium","normalized","Sourced from Take A Chef Houston city page"
"Jewel Tysz","Take A Chef Houston roster","private_chef","private_chef","Houston","TX","","","","","","","","","","Marketplace-listed private chef serving the Houston market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/houston","medium","normalized","Sourced from Take A Chef Houston city page"
"Joshua Dean","Take A Chef Houston roster","private_chef","private_chef","Houston","TX","","","","","","","","","","Marketplace-listed private chef serving the Houston market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/houston","medium","normalized","Sourced from Take A Chef Houston city page"
"Satandria Winston Chef Winston","Take A Chef Houston roster","private_chef","private_chef","Houston","TX","","","","","","","","","","Marketplace-listed private chef serving the Houston market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/houston","medium","normalized","Sourced from Take A Chef Houston city page"
"Alexander Fioroni","Take A Chef Dallas roster","private_chef","private_chef","Dallas","TX","","","","","","","","","","Marketplace-listed private chef serving the Dallas market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/dallas","medium","normalized","Sourced from Take A Chef Dallas city page"
"Cinnamon Applegate","Take A Chef Dallas roster","private_chef","private_chef","Dallas","TX","","","","","","","","","","Marketplace-listed private chef serving the Dallas market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/dallas","medium","normalized","Sourced from Take A Chef Dallas city page"
"Lerisa Smith","Take A Chef Dallas roster","private_chef","private_chef","Dallas","TX","","","","","","","","","","Marketplace-listed private chef serving the Dallas market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/dallas","medium","normalized","Sourced from Take A Chef Dallas city page"
"Eloisa Schessler Eloisa","Take A Chef Dallas roster","private_chef","private_chef","Dallas","TX","","","","","","","","","","Marketplace-listed private chef serving the Dallas market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/dallas","medium","normalized","Sourced from Take A Chef Dallas city page"
"Hailee Moore","Take A Chef Dallas roster","private_chef","private_chef","Dallas","TX","","","","","","","","","","Marketplace-listed private chef serving the Dallas market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/dallas","medium","normalized","Sourced from Take A Chef Dallas city page"
